Date,T_Avg,RH,RR
1-Jan-96,26.3,83,1.2
1-Feb-96,26.24,84.2,20.2
1-Mar-96,27.2,83.66666667,2
1-Apr-96,25.73333333,89.66666667,9.666666667
1-May-96,27.375,78.5,0.25
1-Jun-96,27.68,76.6,NaN
1-Jul-96,26.625,81,NaN
1-Aug-96,26.95714286,80,3.357142857
1-Sep-96,26.93333333,79.66666667,NaN
1-Oct-96,26.6,84.57142857,12.71428571
1-Nov-96,26.4875,83.75,15.75
1-Dec-96,26.525,77.375,2.5
1-Jan-97,25.94285714,83,7.6
1-Feb-97,26.34444444,79.55555556,5
1-Mar-97,27.33333333,78.33333333,2.777777778
1-Apr-97,26.81428571,83.14285714,2.357142857
1-May-97,27.2,81.42857143,11.71428571
1-Jun-97,27.1,74.8,NaN
1-Jul-97,26.65714286,74.28571429,NaN
1-Aug-97,26.66666667,71.83333333,NaN
1-Sep-97,28.075,67.375,NaN
1-Oct-97,28.26,72.8,NaN
1-Nov-97,28.47142857,71,1.9
1-Dec-97,28.23333333,76.33333333,NaN
1-Jan-98,27.61666667,79.66666667,5.46
1-Feb-98,26.775,89,6.05
1-Mar-98,27.3,82.85714286,6.116666667
1-Apr-98,26.95,89.25,15.93333333
1-May-98,28.475,82,0.85
1-Jun-98,26.86,83.4,8.32
1-Jul-98,26.81428571,82.71428571,5.833333333
1-Aug-98,27.4,78.4,6.125
1-Sep-98,29.22666667,69.13333333,4.043333333
1-Oct-98,27.31666667,83.66666667,5
1-Nov-98,27.66666667,76.83333333,6.616666667
1-Dec-98,27.575,77.625,0.357142857
1-Jan-99,26.075,86.25,11.95
1-Feb-99,26.15,82.83333333,9.633333333
1-Mar-99,26.85,81.83333333,7.883333333
1-Apr-99,27.64545455,75.81818182,0.43
1-May-99,27.15714286,80.57142857,2.633333333
1-Jun-99,27.05,77.5,NaN
1-Jul-99,26.72857143,74.28571429,NaN
1-Aug-99,26.93333333,70.33333333,NaN
1-Sep-99,27.9,71,NaN
1-Oct-99,27.25,79,1.95
1-Nov-99,27.325,79,3.1
1-Dec-99,26.53333333,81,14
1-Jan-00,26.2,82.66666667,23.33333333
1-Feb-00,26.12,82.4,25.725
1-Mar-00,26.875,81,1.85
1-Apr-00,27.3,80.75,0.575
1-May-00,27.04,83,16.2
1-Jun-00,26.13333333,82.66666667,6.5
1-Jul-00,26.93333333,74,NaN
1-Aug-00,26.5,75.57142857,5.085714286
1-Sep-00,27.75,74.75,2
1-Oct-00,27.37142857,76.57142857,7.057142857
1-Nov-00,26.92857143,80.14285714,6.685714286
1-Dec-00,28.07777778,75.11111111,2.155555556
1-Jan-01,27.12,79.5,9.955555556
1-Feb-01,26.675,75.25,1.15
1-Mar-01,26.91666667,77.83333333,19.24
1-Apr-01,27.11666667,80.33333333,3.6
1-May-01,27.7,74.75,6.025
1-Jun-01,27.03,76.3,4.98
1-Jul-01,26.6,76.66666667,11.1
1-Aug-01,27.1,69,0.577777778
1-Sep-01,27.05,76.125,1.2625
1-Oct-01,26.52857143,84.42857143,17.94285714
1-Nov-01,26.78333333,81.33333333,9.083333333
1-Dec-01,27.38,75,6.12
1-Jan-02,26.36,83.6,18.52
1-Feb-02,26.25555556,80.22222222,22.77777778
1-Mar-02,27.1,80.8,2.78
1-Apr-02,27.65,82.5,1.325
1-May-02,28.38333333,74.16666667,NaN
1-Jun-02,27.375,78.875,1.675
1-Jul-02,27.25714286,75.57142857,0.085714286
1-Aug-02,27.05714286,68.85714286,NaN
1-Sep-02,27.5,67.25,NaN
1-Oct-02,28.65714286,67,NaN
1-Nov-02,27.78,78.8,10.38
1-Dec-02,28.425,74.5,2.3
1-Jan-03,28.25,76.75,15.925
1-Feb-03,26.75,82.5,38.55
1-Mar-03,26.96,82.4,9.16
1-Apr-03,28.4,78,21.85
1-May-03,28.05,77.25,2.27037037
1-Jun-03,27.46,75,NaN
1-Jul-03,28.72580645,66.80645161,NaN
1-Aug-03,27.33333333,70,NaN
1-Sep-03,26.76666667,76,3.366666667
1-Oct-03,27.3,82,0.25
1-Nov-03,27.725,78.25,9.1
1-Dec-03,25.92,85.6,6.025
1-Jan-04,27.14,80.8,0.766666667
1-Feb-04,27.02,82,8.34
1-Mar-04,27.96,76,8.96
1-Apr-04,27.7,82.5,6
1-May-04,27.46,83.4,4.875
1-Jun-04,27.3,78.5,2.5
1-Jul-04,27.04,78.4,1.806896552
1-Aug-04,27,72.25,NaN
1-Sep-04,27.6,74.25,NaN
1-Oct-04,29.53870968,69.22580645,1.446666667
1-Nov-04,28.5,75.66666667,1.866666667
1-Dec-04,26.63333333,82.66666667,6.75
1-Jan-05,26.7625,83.375,16.075
1-Feb-05,26.175,88.75,10.525
1-Mar-05,27.225,82.5,17.925
1-Apr-05,28.01428571,78.57142857,3
1-May-05,27.81666667,78.5,0.833333333
1-Jun-05,27.58,79,8.92
1-Jul-05,27.1875,78.25,1.5
1-Aug-05,27.22,77.2,NaN
1-Sep-05,27.3,78,30.16666667
1-Oct-05,27.55,77.25,8.4
1-Nov-05,28.08333333,76.33333333,3.25
1-Dec-05,26.84,80.6,16.96666667
1-Jan-06,27.18181818,79.72727273,5.955555556
1-Feb-06,26.775,84,15.83333333
1-Mar-06,26.77142857,81.71428571,28.36666667
1-Apr-06,27.11666667,81.16666667,17.45
1-May-06,27.425,80,NaN
1-Jun-06,27.2,73.625,5.2375
1-Jul-06,27.43333333,72.33333333,NaN
1-Aug-06,26.96666667,72.16666667,NaN
1-Sep-06,27.775,65.375,NaN
1-Oct-06,28.92857143,64.71428571,0.885714286
1-Nov-06,28.83333333,73,NaN
1-Dec-06,27.3875,81.5,29.7375
1-Jan-07,27.4,77.85714286,11.8
1-Feb-07,26.22,86,69.52
1-Mar-07,28.94444444,72.33333333,4.0375
1-Apr-07,27.5125,81.75,4.625
1-May-07,28.05,78.8,2.13
1-Jun-07,27.4,66.25,NaN
1-Jul-07,27.23333333,80.77777778,5.9
1-Aug-07,27.40909091,68.36363636,NaN
1-Sep-07,27.92222222,70.22222222,0.155555556
1-Oct-07,28.1625,73.25,4.866666667
1-Nov-07,28.47,70.9,2.55
1-Dec-07,26.8625,84.125,23.12857143
1-Jan-08,28.13333333,75.66666667,6.74
1-Feb-08,25.72857143,86.28571429,34.9
1-Mar-08,26.6625,82,8.525
1-Apr-08,27.01428571,81.42857143,8.857142857
1-May-08,27.225,75.875,16.5
1-Jun-08,27,78.33333333,13.03333333
1-Jul-08,27.15,74,0.306451613
1-Aug-08,27.25714286,72.85714286,3.366666667
1-Sep-08,27.96666667,73.33333333,6.35
1-Oct-08,28.31666667,73.83333333,NaN
1-Nov-08,27.65714286,78.71428571,5.714285714
1-Dec-08,27.1375,81.125,10.38
1-Jan-09,26.66,81.4,3.1
1-Feb-09,26.33333333,84,10.63333333
1-Mar-09,27.38571429,78.42857143,5.766666667
1-Apr-09,27.57777778,82.44444444,18.78888889
1-May-09,27.18,82.3,12.48
1-Jun-09,27.575,78.75,5.95
1-Jul-09,27.86666667,66.83333333,NaN
1-Aug-09,28.77777778,67.22222222,11.875
1-Sep-09,28.25714286,71.14285714,NaN
1-Oct-09,27.95,74.8,2.61
1-Nov-09,27.76666667,76.88888889,13.05555556
1-Dec-09,27.53333333,80.66666667,11.24285714
1-Jan-10,26.91290323,82.38709677,14.94074074
1-Feb-10,27.29642857,84.39285714,12.28181818
1-Mar-10,27.82580645,81.38709677,6.3
1-Apr-10,28.55666667,76.96666667,4.558333333
1-May-10,28.1,81.32258065,10.59230769
1-Jun-10,27.39333333,82.33333333,5.688
1-Jul-10,27.48709677,79.67741935,2.882758621
1-Aug-10,27.50322581,78.70967742,4.724137931
1-Sep-10,26.58333333,83.6,12.84444444
1-Oct-10,26.87741935,82.41935484,17.9
1-Nov-10,27.54666667,80,10.35925926
1-Dec-10,27.28387097,77.74193548,6.325
1-Jan-11,26.90645161,82.38709677,4.482758621
1-Feb-11,26.75714286,84.39285714,21.925
1-Mar-11,27.50322581,81.38709677,3.475
1-Apr-11,27.69666667,76.96666667,2.688888889
1-May-11,27.48064516,81.32258065,7.563333333
1-Jun-11,27.62,82.33333333,1.603333333
1-Jul-11,27.30645161,79.67741935,0.439285714
1-Aug-11,27.45806452,78.70967742,NaN
1-Sep-11,27.98,83.6,0.323333333
1-Oct-11,28.64516129,82.41935484,2.513793103
1-Nov-11,27.92666667,80,8.776666667
1-Dec-11,27.99354839,77.74193548,3.925
1-Jan-12,26.91612903,82.64516129,19.33793103
1-Feb-12,27.25517241,81.44827586,8.925
1-Mar-12,27.76129032,76.70967742,9.053571429
1-Apr-12,27.48,81.36666667,5.186666667
1-May-12,27.74193548,79.19354839,3.375862069
1-Jun-12,27.62,76.86666667,3.444444444
1-Jul-12,27.35483871,72.29032258,0.031034483
1-Aug-12,27.42258065,69.77419355,NaN
1-Sep-12,28.28,68.8,NaN
1-Oct-12,28.53548387,73.35483871,3.187096774
1-Nov-12,27.47666667,82.33333333,9.966666667
1-Dec-12,27.57419355,81.12903226,12.54137931
1-Jan-13,26.66774194,84.29032258,25.1
1-Feb-13,27.46071429,80.89285714,12.84545455
1-Mar-13,27.77741935,79.25806452,10.20434783
1-Apr-13,27.90666667,81.36666667,14.43333333
1-May-13,27.67419355,82.16129032,20.80769231
1-Jun-13,27.86666667,79.33333333,8.478571429
1-Jul-13,26.87096774,81.41935484,9.741176471
1-Aug-13,27.71666667,76,0.2
1-Sep-13,28.15,72.5,1.6
1-Oct-13,28.2,72.42857143,12.25
1-Nov-13,27.4,79.85714286,18.7
1-Dec-13,27.1,81,8.033333333
1-Jan-14,26.12903226,84.64516129,34.188
1-Feb-14,26.11071429,86.03571429,19.84347826
1-Mar-14,26.90645161,84.25806452,18.33157895
1-Apr-14,27.42666667,80.93333333,11.59
1-May-14,27.50967742,83.09677419,9.563157895
1-Jun-14,27.30666667,82.76666667,11.29285714
1-Jul-14,26.78064516,80.64516129,10.68947368
1-Aug-14,27.05483871,76.48387097,23.775
1-Sep-14,27.65666667,69.46666667,11.75
1-Oct-14,28.55806452,68.83870968,1.638709677
1-Nov-14,27.95333333,78.06666667,21.275
1-Dec-14,27.95483871,77.64516129,21.48125
1-Jan-15,26.93548387,82.09677419,9.803225806
1-Feb-15,26.24642857,86.64285714,15.38461538
1-Mar-15,27.02258065,83.22580645,15.66666667
1-Apr-15,27.52,81.76666667,7.314285714
1-May-15,27.7516129,79.32258065,12.5
1-Jun-15,27.42666667,76.7,15.8
1-Jul-15,27.30322581,73.03225806,0.131578947
1-Aug-15,27.51935484,72.93548387,1.35
1-Sep-15,28.41666667,64.83333333,NaN
1-Oct-15,29.51290323,61.80645161,1.2
1-Nov-15,28.79333333,75.23333333,12.66
1-Dec-15,27.82580645,79.16129032,18.7375
1-Jan-16,24.5,82.96774194,14.59375
1-Feb-16,27.32758621,84.48275862,24.58095238
1-Mar-16,28.80454545,80.45454545,11.28095238
1-Apr-16,28.67,79.23333333,15.04
1-May-16,28.47419355,80.90322581,14.10666667
1-Jun-16,28.05,77.63333333,18.92307692
1-Jul-16,27.72903226,79.48387097,10.17333333
1-Aug-16,27.72258065,76.83870968,10.7125
1-Sep-16,27.91,78.3,19.98823529
1-Oct-16,31.12580645,80.61290323,16.21
1-Nov-16,27.74333333,80.06666667,21.10588235
1-Dec-16,27.69677419,76.41935484,8.475
1-Jan-17,27.68387097,76.64516129,11.26315789
1-Feb-17,26.45357143,84.67857143,18.584
1-Mar-17,27.22903226,81.4516129,19.77058824
1-Apr-17,27.44,80.46666667,27.05
1-May-17,28.14827586,77.89655172,10.77142857
1-Jun-17,27.99130435,77.26086957,12.95
1-Jul-17,27.8483871,72.53333333,1.24
1-Aug-17,27.9483871,68.48387097,4.36
1-Sep-17,28.52,69.51724138,1.7
1-Oct-17,28.0516129,76.58064516,15.12352941
1-Nov-17,27.62666667,79.13333333,10.34761905
1-Dec-17,27.72580645,76.03225806,17.64
1-Jan-18,27.28709677,76.25806452,8.239130435
1-Feb-18,26.72142857,84.07142857,15.81666667
1-Mar-18,27.28387097,81.29032258,7.432
1-Apr-18,27.78,80.10344828,17.21578947
1-May-18,28.33870968,75.48387097,7.157142857
1-Jun-18,28.00666667,75.16666667,7.5
1-Jul-18,27.54193548,66.03225806,0.733333333
1-Aug-18,27.84193548,64.12903226,11.5
1-Sep-18,28.66333333,61.46666667,4.95
1-Oct-18,29.05483871,65.03333333,22.11666667
1-Nov-18,27.98333333,75.66666667,18.57368421
1-Dec-18,27.88709677,74.32258065,9.105882353
1-Jan-19,28.20967742,80.41935484,13.6962963
1-Feb-19,28.525,80.10714286,11.49473684
1-Mar-19,28.22903226,79.09677419,12.00357143
1-Apr-19,29.11,78.76666667,6.375
1-May-19,29.71612903,74.32258065,2.121428571
1-Jun-19,29.21333333,74.06666667,0.055555556
1-Jul-19,28.61935484,71.06451613,NaN
1-Aug-19,28.23870968,71.61290323,NaN
1-Sep-19,28.76,71.03333333,NaN
1-Oct-19,29.45,71.36666667,0.111111111
1-Nov-19,29.57,72.56666667,5.230769231
1-Dec-19,28.59677419,79.70967742,15.62857143
1-Jan-20,27.87741935,83.06451613,25.62962963
1-Feb-20,27.67037037,84.07407407,41.728
1-Mar-20,28.56129032,79.83870968,9.595652174
1-Apr-20,28.92333333,79.03333333,11.425
1-May-20,29.48064516,76.19354839,3.6
1-Jun-20,29.44137931,74.34482759,1.31875
1-Jul-20,28.61935484,72.64516129,0.75625
1-Aug-20,28.91612903,71.70967742,5.315789474
1-Sep-20,29.54117647,68,0.433333333
1-Oct-20,28.81290323,74.22580645,9.468181818
1-Nov-20,28.94666667,76.13333333,3.968181818
1-Dec-20,28.06451613,76.09677419,7.923529412
1-Jan-21,27.33225806,84.41935484,12.31111111
1-Feb-21,27.59285714,83.92857143,21.21818182
1-Mar-21,28.25806452,82.06451613,7.564
1-Apr-21,28.82,84.2,3.281481481
1-May-21,29.38387097,81.77419355,13.14210526
